だれが,なにを,エリア,どこで,施設名,住所,電話番号
障がいのある方・車いす使用者,見る,北九州エリア,北九州市,北九州市立 響ホール,805‐0062　福岡県北九州市八幡東区平野1丁目1-1,0936624010
障がいのある方・車いす使用者,見る,北九州エリア,北九州市,北九州市立 小倉城庭園,803‐0813　福岡県北九州市小倉北区城内1-2,0935822747
障がいのある方・車いす使用者,見る,北九州エリア,北九州市,小倉城,803‐0813　福岡県北九州市小倉北区城内2-1,0935611210
障がいのある方・車いす使用者,見る,北九州エリア,北九州市,北九州市立文学館,803‐0813　福岡県北九州市小倉北区城内4番1号,0935711505
障がいのある方・車いす使用者,見る,北九州エリア,北九州市,関門海峡ミュージアム,801‐0841　福岡県北九州市門司区西海岸1‐3‐3,0933316700
障がいのある方・車いす使用者,見る,北九州エリア,北九州市,北九州市立長崎街道木屋瀬宿記念館,807‐1261　北九州市八幡西区木屋瀬三丁目16‐26,0936191149
障がいのある方・車いす使用者,見る,北九州エリア,北九州市,九州鉄道記念館,801‐0833　福岡県北九州市門司区清滝2丁目3番29号,0933221006
障がいのある方・車いす使用者,見る,北九州エリア,北九州市,北九州市立美術館,804‐0024　福岡県北九州市戸畑区西鞘ケ谷２１−１,0938827777
障がいのある方・車いす使用者,見る,北九州エリア,北九州市,門司港レトロ展望室,801‐0853　福岡県北九州市門司区東港町１番３２号,0933214151
障がいのある方・車いす使用者,見る,北九州エリア,北九州市,北九州市　旧門司三井倶楽部,801‐0852　福岡県北九州市門司区港町7-１,0933214151
障がいのある方・車いす使用者,見る,北九州エリア,北九州市,北九州市環境ミュージアム,805‐0071　福岡県北九州市八幡東区東田二丁目2-6,0936636751
障がいのある方・車いす使用者,見る,北九州エリア,北九州市,北九州市立美術館分館,803‐0812　北九州市小倉北区室町1-1-1　リバーウォーク北九州5階,0935623215
障がいのある方・車いす使用者,見る,北九州エリア,北九州市,北九州市立美術館黒崎市民ギャラリー,806‐0021　福岡県北九州市八幡西区黒崎３－１５－３　コムシティ３階,0936445206
障がいのある方・車いす使用者,見る,北九州エリア,北九州市,北九州市立松本清張記念館,803‐0813　福岡県北九州市小倉北区城内2番3号,0935822761
障がいのある方・車いす使用者,見る,北九州エリア,北九州市,出光美術館（門司）,福岡県北九州市門司区東港町2-3,-
障がいのある方・車いす使用者,見る,北九州エリア,北九州市,北九州メディアドーム,福岡県北九州市小倉北区三萩野三丁目１番１号,-
障がいのある方・車いす使用者,見る,北九州エリア,北九州市,平尾台自然観察センター,803‐0180　福岡県北九州市小倉南区平尾台1丁目4番40号,0934533737
障がいのある方・車いす使用者,見る,北九州エリア,芦屋町,芦屋歴史の里,807‐0141　福岡県遠賀郡芦屋町山鹿1200,0932222555
障がいのある方・車いす使用者,見る,北九州エリア,芦屋町,芦屋釜の里,807‐0141　福岡県遠賀郡芦屋町山鹿1558-3,0932235881
障がいのある方・車いす使用者,見る,北九州エリア,水巻町,図書館歴史資料館,807‐0012　福岡県水巻町古賀3丁目１８−１,0932015000
障がいのある方・車いす使用者,見る,福岡エリア,福岡市,キャナルシティ劇場,812‐0018　福岡市博多区住吉1-2-1,0570008110
障がいのある方・車いす使用者,見る,福岡エリア,福岡市,福岡アジア美術館,812‐0027　福岡県福岡市博多区下川端町３－１　リバレインセンタービル７・８F,0922631100
障がいのある方・車いす使用者,見る,福岡エリア,福岡市,能古博物館,819‐0012　福岡県福岡市西区能古555-2,0928832887
障がいのある方・車いす使用者,見る,福岡エリア,福岡市,「博多町家」ふるさと館,812‐0039　福岡県福岡市博多区冷泉町6-10,0922817761
障がいのある方・車いす使用者,見る,福岡エリア,福岡市,福岡市博物館,814‐0001　福岡県福岡市早良区百道浜3-1-1,0928455011
障がいのある方・車いす使用者,見る,福岡エリア,福岡市,福岡市美術館,810‐0051　福岡県福岡市中央区大濠公園1-6,0927146051
障がいのある方・車いす使用者,見る,福岡エリア,福岡市,福岡市埋蔵文化財センター,812‐0881　福岡県福岡市博多区井相田2-1-94,0925712921
障がいのある方・車いす使用者,見る,福岡エリア,福岡市,福岡市民会館,810‐0001　福岡県福岡市中央区天神5-1-23,0927616567
障がいのある方・車いす使用者,見る,福岡エリア,福岡市,元寇史料館,812‐0045　福岡県福岡市博多区東公園7-11,0926511259
障がいのある方・車いす使用者,見る,福岡エリア,福岡市,ももちパレス・福岡県立ももち文化センター,814‐0006　福岡県福岡市早良区百道２丁目３番１５号,0928514511
障がいのある方・車いす使用者,見る,福岡エリア,福岡市,福岡県水産海洋技術センター水産資料館,819‐0165　福岡県福岡市西区今津1141-1,0928053311
障がいのある方・車いす使用者,見る,福岡エリア,福岡市,福岡県立美術館,810‐0001　福岡県福岡市中央区天神5丁目2番1号,0927153551
障がいのある方・車いす使用者,見る,福岡エリア,福岡市,福岡県立図書館,812‐8651　福岡県福岡市東区箱崎1-41-12,0926411123
障がいのある方・車いす使用者,見る,福岡エリア,福岡市,ももちパレス,814‐0006　福岡県福岡市早良区百道2丁目3番15号,0928514511
障がいのある方・車いす使用者,見る,福岡エリア,筑紫野市,筑紫野市文化会館,818‐0041　福岡県筑紫野市上古賀１−５−１,0929254321
障がいのある方・車いす使用者,見る,福岡エリア,筑紫野市,五郎山古墳館,818‐0024　福岡県筑紫野市原田3-9-5,0929273655
障がいのある方・車いす使用者,見る,福岡エリア,筑紫野市,筑紫野市歴史博物館「ふるさと館ちくしの」,818‐0057　福岡県筑紫野市二日市南１−９−１,0929221911
障がいのある方・車いす使用者,見る,福岡エリア,春日市,春日市奴国の丘歴史資料館,福岡県春日市岡本３丁目５７番地,-
障がいのある方・車いす使用者,見る,福岡エリア,大野城市,大野城まどかぴあ,816‐0934　福岡県大野城市曙町二丁目３番１号,0925864000
障がいのある方・車いす使用者,見る,福岡エリア,太宰府市,水城館,818‐0132　太宰府市国分2-17-10,0925558455
障がいのある方・車いす使用者,見る,福岡エリア,太宰府市,大宰府展示館,818‐0101　福岡県太宰府市観世音寺4-6-1,0929227811
障がいのある方・車いす使用者,見る,福岡エリア,太宰府市,太宰府市文化ふれあい館,818‐0132　福岡県太宰府市国分4-9-1,0929280800
障がいのある方・車いす使用者,見る,福岡エリア,太宰府市,九州国立博物館 アジア文化交流センター,818‐0118　福岡県太宰府市石坂4-7-2,09055428600
障がいのある方・車いす使用者,見る,福岡エリア,太宰府市,九州国立博物館,818‐0118　福岡県太宰府市石坂4-7-2,09055428600
障がいのある方・車いす使用者,見る,福岡エリア,太宰府市,太宰府天満宮,818‐0195　福岡県太宰府市宰府4丁目7番1号,0929228225
障がいのある方・車いす使用者,見る,福岡エリア,福津市,福津市複合文化センター（文化会館、図書・歴史資料館）,811‐3304　福岡県福津市津屋崎１丁目７番２号,-
